street,x,y,type,hour,week_day,day_type,day,month,year,minute
Av. Edmundo Pérez Zujovic,-70.395695,-23.635911,JAM,18,0,s,26,8,2024,26
Nicolás Tirado,-70.388127,-23.591888,JAM,18,0,s,26,8,2024,25
Av. Óscar Bonilla,-70.379408,-23.579941,JAM,18,0,s,26,8,2024,21
Av. Antonio Rendic,-70.388701,-23.639852,JAM,18,0,s,26,8,2024,28
Av. Edmundo Pérez Zujovic,-70.392087,-23.60711,JAM,18,0,s,26,8,2024,31
Nicolás Tirado,-70.389196,-23.591903,JAM,18,0,s,26,8,2024,28
Av. Antonio Rendic,-70.388975,-23.636851,JAM,18,0,s,26,8,2024,28
Av. Pedro Aguirre Cerda,-70.389675,-23.591512,JAM,18,0,s,26,8,2024,30
Av. Edmundo Pérez Zujovic,-70.393927,-23.621972,JAM,18,0,s,26,8,2024,34
Av. Pedro Aguirre Cerda,-70.390116,-23.585721,JAM,18,0,s,26,8,2024,35
Av. Edmundo Pérez Zujovic,-70.395821,-23.631919,JAM,18,0,s,26,8,2024,39
Av. Pedro Aguirre Cerda,-70.390721,-23.57866,JAM,18,0,s,26,8,2024,39
Av. Óscar Bonilla,-70.379491,-23.578951,JAM,18,0,s,26,8,2024,39
